"REGION";"CD_REF";"PR";"PR_det";"LRR";"LRR_det";"LRR_H";"LRR_H_det";"LRR_P";"LRR_P_det";"PD";"PD_det";"ZNIEFF";"ZNIEFF_det"
"Alsace";"23232";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23233";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23235";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23236";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23242";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23664";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23668";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23669";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23671";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23672";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23675";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23683";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23686";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23689";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23690";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23918";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23924";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23926";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23932";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23939";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23940";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23944";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23945";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23946";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23948";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23951";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24304";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24309";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24312";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24313";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24323";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24324";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24326";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24336";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24338";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24339";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24342";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24344";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24353";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24358";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24362";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24363";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24364";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24365";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24367";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24368";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24369";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24370";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24372";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24373";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24376";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24379";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24384";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24393";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24394";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24396";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24398";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24399";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24401";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24403";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24410";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24412";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24414";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24416";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24419";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24434";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24438";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
