"Groupe";"Nom";"CD_REF";"LB_NOM";"NOM_COMPL";"NOM_VERN";"CLASSE";"ORDRE";"FAMILLE";"PN";"PN_det";"LRN";"LRN_det";"LRN_H";"LRN_H_det";"LRN_P";"LRN_P_det";"DH";"DH_det";"DO";"DO_det";"ZH"
"Fonge";"Acanthobasidium delicatum";"41263";"Acanthobasidium delicatum";"Acanthobasidium delicatum (Wakef.) Oberw. ex Jülich, 1979";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthobasidium norvegicum";"41264";"Acanthobasidium norvegicum";"Acanthobasidium norvegicum (J.Erikss. & Ryvarden) Boidin, Lanq., Cand., Gilles & Hugueney, 1986";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthobasidium phragmitis";"438042";"Acanthobasidium phragmitis";"Acanthobasidium phragmitis Boidin, Lanq., Cand., Gilles & Hugueney, 1986";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthohelicospora";"933660";"Acanthohelicospora";"Acanthohelicospora Boonmee & K.D.Hyde, 2014";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthohelicospora scopula";"933362";"Acanthohelicospora scopula";"Acanthohelicospora scopula (Peck) Rossman & W.C.Allen, 2016";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthonitschkea";"188708";"Acanthonitschkea";"Acanthonitschkea Speg., 1908";NA;"Sordariomycetes";"Coronophorales";"Nitschkiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthonitschkea tristis";"45278";"Acanthonitschkea tristis";"Acanthonitschkea tristis (J.Kickx f.) Nannf., 1975";NA;"Sordariomycetes";"Coronophorales";"Nitschkiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophiobolus";"188709";"Acanthophiobolus";"Acanthophiobolus Berl., 1893";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophiobolus helicosporus";"45281";"Acanthophiobolus helicosporus";"Acanthophiobolus helicosporus (Berk. & Broome) J.Walker, 1972";NA;"Dothideomycetes";NA;"Tubeufiaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophysellum";"460761";"Acanthophysellum";"Acanthophysellum Parmasto, 1967";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophysellum canadense";"461927";"Acanthophysellum canadense";"Acanthophysellum canadense (Skolko) Sheng H.Wu, Boidin & C.Y.Chien, 2000";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophysellum dextrinoideocerussatum";"462592";"Acanthophysellum dextrinoideocerussatum";"Acanthophysellum dextrinoideocerussatum (Manjón, M.N.Blanco & G.Moreno) Sheng H.Wu, Boidin & C.Y.Chien, 2000";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophysellum fennicum";"993663";"Acanthophysellum fennicum";"Acanthophysellum fennicum (Laurila) Bernicchia & Gorjón, 2010";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophysellum lividocoeruleum";"507922";"Acanthophysellum lividocoeruleum";"Acanthophysellum lividocoeruleum (P.Karst.) Parmasto, 1967";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophysellum verecundum";"462593";"Acanthophysellum verecundum";"Acanthophysellum verecundum Duhem, 2001";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acanthophysium";"188710";"Acanthophysium";"Acanthophysium (Pilát) G.Cunn., 1963";NA;NA;"Polyporales";"Stereaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
