"HAB";"TYPO";"CD_LB";"CD";"LB";"NIVEAU"
"24466";"28";"F66-11 Laguro ovati-Brometum rigidi";"F66-11";"Laguro ovati-Brometum rigidi";"8"
"24467";"28";"F66-12 Laguro ovati-Hordeetum leporini";"F66-12";"Laguro ovati-Hordeetum leporini";"8"
"24468";"28";"F66-13 Laguro ovati-Avenetum barbatae";"F66-13";"Laguro ovati-Avenetum barbatae";"8"
"24469";"28";"F66-14 Laguro ovati-Diplotaxietum tenuifoliae";"F66-14";"Laguro ovati-Diplotaxietum tenuifoliae";"8"
"24470";"28";"F66-15 Laguro ovati-Centaureetum asperae";"F66-15";"Laguro ovati-Centaureetum asperae";"8"
"24471";"28";"F66-16 Hordeo murini-Arctothecetum calendulae";"F66-16";"Hordeo murini-Arctothecetum calendulae";"8"
"24474";"28";"F66-17 Chenopodietum muralis";"F66-17";"Chenopodietum muralis";"8"
"24475";"28";"F66-18 Amarantho blitoidis-Chenopodietum ambrosioidis";"F66-18";"Amarantho blitoidis-Chenopodietum ambrosioidis";"8"
"24477";"28";"F66-19 Chenopodio muralis-Atriplicetum hastatae";"F66-19";"Chenopodio muralis-Atriplicetum hastatae";"8"
"24478";"28";"F66-20 Chenopodio vulvariae-Atriplicetum roseae";"F66-20";"Chenopodio vulvariae-Atriplicetum roseae";"8"
"24479";"28";"F66-21 Lavateretum cretico-arboreae";"F66-21";"Lavateretum cretico-arboreae";"8"
"24480";"28";"F66-22 Malvetum parvifloro-nicaeensis";"F66-22";"Malvetum parvifloro-nicaeensis";"8"
"24481";"28";"F66-23 Erigeronto canadensis-Lactucetum serriolae";"F66-23";"Erigeronto canadensis-Lactucetum serriolae";"8"
"24482";"28";"F66-24 Lactuco serriolae-Sisymbrietum altissimi";"F66-24";"Lactuco serriolae-Sisymbrietum altissimi";"8"
"24483";"28";"F66-25 Sisymbrio sophiae-Atriplicetum oblongifoliae";"F66-25";"Sisymbrio sophiae-Atriplicetum oblongifoliae";"8"
"24484";"28";"F66-26 Sisymbrietum loeselii";"F66-26";"Sisymbrietum loeselii";"8"
"24485";"28";"F66-27 Chenopodietum stricti";"F66-27";"Chenopodietum stricti";"8"
"24486";"28";"F66-28 Sisymbrio austriaci-Asperuginetum procumbentis";"F66-28";"Sisymbrio austriaci-Asperuginetum procumbentis";"8"
"24487";"28";"F66-29 Vulpio myuri-Erigerontetum canadensis";"F66-29";"Vulpio myuri-Erigerontetum canadensis";"8"
"24489";"28";"F66-30 Urtico urentis-Malvetum neglectae";"F66-30";"Urtico urentis-Malvetum neglectae";"8"
"24491";"28";"F66-31 Chenopodietum vulvariae";"F66-31";"Chenopodietum vulvariae";"8"
"24490";"28";"F66-31 Chenopodio vulvariae-Malvetum neglectae";"F66-31";"Chenopodio vulvariae-Malvetum neglectae";"8"
"24492";"28";"F66-32 Hyoscyamo nigri-Malvetum neglectae";"F66-32";"Hyoscyamo nigri-Malvetum neglectae";"8"
"24493";"28";"F66-33 Geranio mollis-Hordeetum murini";"F66-33";"Geranio mollis-Hordeetum murini";"8"
"24495";"28";"F66-35 Hordeetum murini";"F66-35";"Hordeetum murini";"8"
"24496";"28";"F66-36 Coronopodo procumbentis-Centaureetum calcitrapae";"F66-36";"Coronopodo procumbentis-Centaureetum calcitrapae";"8"
"24497";"28";"F66-37 Chenopodietum botryos";"F66-37";"Chenopodietum botryos";"8"
"24498";"28";"F66-38 Plantagini indicae-Senecionetum viscosi";"F66-38";"Plantagini indicae-Senecionetum viscosi";"8"
"28370";"28";"F66-39 Sileno gallicae-Brometum gussonei";"F66-39";"Sileno gallicae-Brometum gussonei";"8"
"28376";"28";"F66-40 Plantagini afrae-Lamarckietum aureae";"F66-40";"Plantagini afrae-Lamarckietum aureae";"8"
"28377";"28";"F66-41 Mesembryanthemo nodiflori-Atriplicetum prostratae";"F66-41";"Mesembryanthemo nodiflori-Atriplicetum prostratae";"8"
